"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","seed","prev_rate","ratio","colour"
1,2.97536812290718,0.241150881608141,9.53355057402653,0.001,"BAR_BAY","maxN","allSpecies",120,"seed_10","prev_0",0.972,"blue"
1,0.0833333333333333,0.1,0.444444444444444,1,"BAR_BAY","maxN","bininterSpecies",2,"seed_10","prev_0",0.331,"red"
1,2.60593321650879,0.225029608680968,8.71115636939207,0.001,"BAR_LAG","maxN","allSpecies",121,"seed_10","prev_0",1.04,"blue"
1,0.997596547443734,0.0830210895800631,2.26344053927159,0.001,"BAR_LAG","maxN","bininterSpecies",41,"seed_10","prev_0",0.305,"blue"
1,1.12732307626152,0.119062702598415,4.05463713307189,0.001,"BAY_LAG","maxN","allSpecies",47,"seed_10","prev_0",1.066,"blue"
1,0.444444444444444,0.188235294117647,1.6231884057971,0.227,"BAY_LAG","maxN","bininterSpecies",5,"seed_10","prev_0",1.388,"red"
1,3.47108751046934,0.192178621904746,10.943281333384,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",132,"seed_10","prev_0",0.978,"blue"
1,1.89024794223122,0.120685670964695,4.8037412154974,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",27,"seed_10","prev_0",0.481,"blue"
1,3.15715619561356,0.261536502028551,10.6248922017265,0.001,"BAR_BAY","pres/abs","allSpecies",120,"seed_10","prev_0",0.736,"blue"
1,2.1172442986237,0.230573515785182,6.29305584201459,0.001,"BAR_BAY","pres/abs","terinterSpecies",24,"seed_10","prev_0",0.649,"blue"
1,2.73404338336519,0.233754348306754,9.15193506639308,0.001,"BAR_LAG","pres/abs","allSpecies",121,"seed_10","prev_0",0.772,"blue"
1,1.01591435185185,0.096873879093894,2.35983135769278,0.004,"BAR_LAG","pres/abs","terinterSpecies",20,"seed_10","prev_0",0.32,"red"
1,1.02460438915371,0.106084558910228,3.56022127040002,0.001,"BAY_LAG","pres/abs","allSpecies",47,"seed_10","prev_0",0.871,"blue"
1,0.560491916519694,0.046337600457212,1.36049488102285,0.154,"BAY_LAG","pres/abs","terinterSpecies",25,"seed_10","prev_0",0.38,"red"
1,3.63358373680674,0.201330498003463,11.5957888525953,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",132,"seed_10","prev_0",0.709,"blue"
1,0.490842490842491,0.129562484892434,1.63732296584282,0.217,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",6,"seed_10","prev_0",0.456,"red"
1,2.97536812290718,0.241150881608141,9.53355057402653,0.001,"BAR_BAY","maxN","allSpecies",120,"seed_10","prev_0",0.799,"blue"
1,1.74993970605194,0.176115720764119,4.70277920632748,0.001,"BAR_BAY","maxN","terinterSpecies",25,"seed_10","prev_0",0.584,"blue"
1,2.60593321650879,0.225029608680968,8.71115636939207,0.001,"BAR_LAG","maxN","allSpecies",121,"seed_10","prev_0",0.826,"blue"
1,1.0103029717987,0.0969055721615741,2.36068623815721,0.007,"BAR_LAG","maxN","terinterSpecies",22,"seed_10","prev_0",0.356,"red"
1,1.12732307626152,0.119062702598415,4.05463713307189,0.001,"BAY_LAG","maxN","allSpecies",47,"seed_10","prev_0",0.878,"blue"
1,0.609654316176741,0.0484476050642432,1.42559983981796,0.124,"BAY_LAG","maxN","terinterSpecies",25,"seed_10","prev_0",0.357,"red"
1,3.47108751046934,0.192178621904746,10.943281333384,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",132,"seed_10","prev_0",0.766,"blue"
1,0.497572447276589,0.131611686331166,1.66714421055064,0.217,"INSHORE_OFFSHORE","maxN","terinterSpecies",6,"seed_10","prev_0",0.525,"red"
1,3.8543996102515,0.346193413215334,15.8851296490236,0.001,"BAR_BAY","pres/abs","allSpecies",36,"seed_10","prev_10",1.335,"blue"
1,5.06448789568024,0.473550827688821,26.985558298622,0.001,"BAR_BAY","pres/abs","indvalSpecies",22,"seed_10","prev_10",1.826,"blue"
1,3.51125468092066,0.334794984036623,15.0988782105811,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_10","prev_10",1.513,"blue"
