"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Vanderhorstia ambanoro",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Zebrasoma velifer",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAR_LAG","indval","bin"
"Acanthurus blochii",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Acanthurus mata",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Acanthurus nigricauda",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Acanthurus olivaceus",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Acanthurus xanthopterus",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Acreichthys tomentosus",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Aetobatus narinari",0.05,"LAG",0,2.5,"BAR_LAG","indval","bin"
"Amblyeleotris steinitzi",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_LAG","indval","bin"
"Amblygobius sphynx",0.1,"LAG",0,5,"BAR_LAG","indval","bin"
"Aprion virescens",0.025,"BAR",0,5,"BAR_LAG","indval","bin"
"Arothron stellatus",0.2,"LAG",0,10,"BAR_LAG","indval","bin"
"Atule mate",0.25,"LAG",0,12.5,"BAR_LAG","indval","bin"
"Balistoides viridescens",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Bodianus loxozonus",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Bodianus perditio",0.1,"BAR",0,5,"BAR_LAG","indval","bin"
"Caesio caerulaurea",0.05,"BAR",0,2.5,"BAR_LAG","indval","bin"
"Canthigaster valentini",0.15,"BAR",0,7.5,"BAR_LAG","indval","bin"
"Carangoides dinema",0.1,"LAG",0,5,"BAR_LAG","indval","bin"
"Carangoides fulvoguttatus",0.025,"BAR",0,5,"BAR_LAG","indval","bin"
