"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_BAY","indval","maxN"
"Synodus variegatus",0.3,"BAY",1,15,"BAR_BAY","indval","maxN"
"Thalassoma lunare",0.734,"BAR",1,40,"BAR_BAY","indval","maxN"
"Upeneus sundaicus",0.239,"BAR",0,17.5,"BAR_BAY","indval","maxN"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAR_LAG","indval","maxN"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Arothron stellatus",0.2,"LAG",0,10,"BAR_LAG","indval","maxN"
"Atule mate",0.25,"LAG",1,12.5,"BAR_LAG","indval","maxN"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Coris dorsomacula",0.208,"BAR",0,15,"BAR_LAG","indval","maxN"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_LAG","indval","maxN"
"Decapterus macarellus",0.25,"LAG",1,12.5,"BAR_LAG","indval","maxN"
"Echeneis naucrates",0.086,"LAG",0,15,"BAR_LAG","indval","maxN"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Halichoeres trimaculatus",0.85,"BAR",1,42.5,"BAR_LAG","indval","maxN"
"Lagocephalus sceleratus",0.232,"LAG",0,22.5,"BAR_LAG","indval","maxN"
"Lethrinus genivittatus",0.671,"LAG",1,60,"BAR_LAG","indval","maxN"
"Lethrinus obsoletus",0.2,"LAG",0,10,"BAR_LAG","indval","maxN"
"Lethrinus rubrioperculatus",0.787,"BAR",1,42.5,"BAR_LAG","indval","maxN"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","maxN"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_LAG","indval","maxN"
"Nemipterus peronii",0.9,"LAG",1,45,"BAR_LAG","indval","maxN"
"Oxycheilinus bimaculatus",0.73,"BAR",1,40,"BAR_LAG","indval","maxN"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Parapercis australis",0.7,"BAR",1,35,"BAR_LAG","indval","maxN"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","maxN"
"Parupeneus heptacanthus",0.118,"LAG",0,17.5,"BAR_LAG","indval","maxN"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_LAG","indval","maxN"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_LAG","indval","maxN"
