"featureImportance","feature","comparison","source","data"
0.05,"Scolopsis lineata","BAR_LAG","indval","pres/abs"
0.05,"Scomberoides tol","BAR_LAG","indval","pres/abs"
0.2,"Scomberomorus commerson","BAR_LAG","indval","pres/abs"
0.05,"Siganus doliatus","BAR_LAG","indval","pres/abs"
0.05,"Siganus punctatus","BAR_LAG","indval","pres/abs"
0.05,"Sphyrna mokarran","BAR_LAG","indval","pres/abs"
0.05,"Stegastes nigricans","BAR_LAG","indval","pres/abs"
0.05,"Stethojulis bandanensis","BAR_LAG","indval","pres/abs"
0.4,"Stethojulis interrupta","BAR_LAG","indval","pres/abs"
0.15,"Stethojulis strigiventer","BAR_LAG","indval","pres/abs"
0.35,"Sufflamen chrysopterum","BAR_LAG","indval","pres/abs"
0.15,"Sufflamen fraenatum","BAR_LAG","indval","pres/abs"
0.05,"Synodus dermatogenys","BAR_LAG","indval","pres/abs"
0.4,"Synodus variegatus","BAR_LAG","indval","pres/abs"
0.025,"Taeniura meyeni","BAR_LAG","indval","pres/abs"
0.75,"Thalassoma lunare","BAR_LAG","indval","pres/abs"
0.3,"Upeneus moluccensis","BAR_LAG","indval","pres/abs"
0.125,"Upeneus sundaicus","BAR_LAG","indval","pres/abs"
0.15,"Upeneus tragula","BAR_LAG","indval","pres/abs"
0.1,"Upeneus vittatus","BAR_LAG","indval","pres/abs"
0.05,"Valenciennea decora","BAR_LAG","indval","pres/abs"
0.05,"Valenciennea longipinnis","BAR_LAG","indval","pres/abs"
0.05,"Valenciennea puellaris","BAR_LAG","indval","pres/abs"
0.05,"Zebrasoma velifer","BAR_LAG","indval","pres/abs"
0.114285714285714,"Abalistes stellatus","BAY_LAG","indval","pres/abs"
0.05,"Acreichthys tomentosus","BAY_LAG","indval","pres/abs"
0.05,"Aetobatus narinari","BAY_LAG","indval","pres/abs"
0.1,"Amblygobius sphynx","BAY_LAG","indval","pres/abs"
0.05,"Aprion virescens","BAY_LAG","indval","pres/abs"
0.2,"Arothron stellatus","BAY_LAG","indval","pres/abs"
0.423529411764706,"Atule mate","BAY_LAG","indval","pres/abs"
0.05,"Canthigaster bennetti","BAY_LAG","indval","pres/abs"
0.0666666666666667,"Carangoides dinema","BAY_LAG","indval","pres/abs"
0.05,"Carangoides fulvoguttatus","BAY_LAG","indval","pres/abs"
0.05,"Carangoides plagiotaenia","BAY_LAG","indval","pres/abs"
0.05,"Caranx ignobilis","BAY_LAG","indval","pres/abs"
0.05,"Caranx papuensis","BAY_LAG","indval","pres/abs"
0.05,"Carcharhinus leucas","BAY_LAG","indval","pres/abs"
0.1,"Coris caudimacula","BAY_LAG","indval","pres/abs"
0.05,"Coris dorsomacula","BAY_LAG","indval","pres/abs"
0.15625,"Decapterus macarellus","BAY_LAG","indval","pres/abs"
0.0666666666666667,"Diagramma pictum","BAY_LAG","indval","pres/abs"
